IndicatorType,CountryName,MarketName,CurrencyCode,Date,Value,SourceOfTheData
Parallel,Ethiopia,Addis Ababa,ETB,15/02/2017,27.1,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/03/2017,27.4,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/04/2017,27.4,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/05/2017,28.05,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/06/2017,28,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/07/2017,28,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/08/2017,27.8,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/09/2017,27.55,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/10/2017,31.1,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/11/2017,30.8,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/12/2017,32,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/01/2018,33.2,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/02/2018,34,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/03/2018,34.5,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/05/2018,35,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/06/2018,36,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/07/2018,28.5,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/08/2018,30,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/07/2019,39.8,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/08/2019,40.8,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/09/2019,40.75,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/10/2019,40.75,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/11/2019,41.8,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/12/2019,42,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/01/2020,41.8,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/02/2020,41,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/03/2020,40,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/04/2020,41.5,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/05/2020,43.8,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/06/2020,44.75,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/07/2020,47,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/08/2020,45.5,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/09/2020,49,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/10/2020,48.3,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/11/2020,49.5,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/12/2020,51.35,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/01/2021,53.75,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/02/2021,54.8,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/03/2021,54,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/04/2021,54,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/05/2021,54,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/06/2021,56,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/07/2021,58.67,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/08/2021,64.81,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/10/2021,48.3,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/11/2021,63,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/12/2021,59.5,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/01/2022,59.5,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/02/2022,64,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/03/2022,67,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/04/2022,68,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/05/2022,75,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/06/2022,75,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/07/2022,80,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/08/2022,84,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/09/2022,90,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/10/2022,74,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/11/2022,88,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/12/2022,98,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/01/2023,93,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/02/2023,95,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/03/2023,100,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/06/2023,104,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/08/2023,107,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/09/2023,105,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/11/2023,111,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/12/2023,112,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/01/2024,113,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/02/2024,116,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/03/2024,116,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/04/2024,116,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/05/2024,114,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/06/2024,115,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/08/2024,120,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/09/2024,123,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/11/2024,137,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/01/2025,147,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/02/2025,145,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/03/2025,154,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/04/2025,155,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/05/2025,156,WFP
Parallel,Ethiopia,Addis Ababa,ETB,15/06/2025,155,WFP
